2020_census_tract,vehicle_count,electric_range,base_msrp,model_year,percent_bev,high_adoption
6073009505.0,1,0.0,0.0,2023.0,1.0,0
6073009510.0,1,33.0,0.0,2018.0,0.0,0
6073010003.0,1,0.0,0.0,2024.0,1.0,0
6073010017.0,1,0.0,0.0,2021.0,1.0,0
6073010601.0,1,0.0,0.0,2023.0,1.0,0
6073013317.0,4,66.5,0.0,2020.75,1.0,0
6073013319.0,1,0.0,0.0,2024.0,1.0,0
6073015001.0,1,32.0,0.0,2021.0,0.0,0
6073016901.0,1,32.0,0.0,2023.0,0.0,0
6073018515.0,1,32.0,0.0,2020.0,0.0,0
6073018525.0,1,249.0,0.0,2018.0,1.0,0
6073018619.0,1,0.0,0.0,2021.0,1.0,0
6073018700.0,1,38.0,0.0,2014.0,0.0,0
6073019303.0,1,42.0,0.0,2021.0,0.0,0
6073020110.0,1,0.0,0.0,2024.0,1.0,0
6073021800.0,1,0.0,0.0,2022.0,1.0,0
6073021900.0,1,0.0,0.0,2023.0,1.0,0
6075015701.0,1,22.0,0.0,2018.0,0.0,0
6075030102.0,1,0.0,0.0,2024.0,1.0,0
6075033204.0,1,0.0,0.0,2025.0,1.0,0
6079011800.0,1,0.0,0.0,2025.0,1.0,0
6079012306.0,1,42.0,0.0,2024.0,0.0,0
6081603400.0,1,0.0,0.0,2023.0,1.0,0
6081609500.0,1,18.0,0.0,2022.0,0.0,0
6081610202.0,1,0.0,0.0,2023.0,1.0,0
6085503708.0,1,0.0,0.0,2023.0,1.0,0
6085504317.0,1,84.0,0.0,2015.0,1.0,0
6085505403.0,2,5.0,0.0,2020.0,0.5,0
6085507402.0,1,266.0,0.0,2020.0,1.0,0
6085507805.0,3,7.333333333333333,0.0,2022.3333333333333,0.6666666666666666,0
6085507903.0,1,30.0,0.0,2022.0,0.0,0
6085509111.0,1,0.0,0.0,2024.0,1.0,0
6085509404.0,1,0.0,0.0,2022.0,1.0,0
6085509600.0,1,0.0,0.0,2023.0,1.0,0
6085510801.0,1,0.0,0.0,2021.0,1.0,0
6085511000.0,1,81.0,0.0,2016.0,1.0,0
6085512200.0,1,42.0,0.0,2023.0,0.0,0
6095251000.0,1,84.0,0.0,2015.0,1.0,0
6095252102.0,1,0.0,0.0,2022.0,1.0,0
6097153708.0,1,21.0,0.0,2023.0,0.0,0
6099003612.0,1,0.0,0.0,2024.0,1.0,0
6111004305.0,1,0.0,0.0,2023.0,1.0,0
6111004600.0,2,22.5,0.0,2019.5,0.0,0
6111005503.0,1,32.0,0.0,2020.0,0.0,0
6111007614.0,1,125.0,0.0,2019.0,1.0,0
6115040902.0,1,0.0,0.0,2023.0,1.0,0
8005006861.0,2,11.0,0.0,2022.5,0.5,0
8031003801.0,1,0.0,0.0,2024.0,1.0,0
8031003901.0,2,0.0,0.0,2021.5,1.0,0
8041002300.0,1,37.0,0.0,2023.0,0.0,0
8041002501.0,1,0.0,0.0,2023.0,1.0,0
